lemma_POS,ipm_corpus1,ipm_corpus2,ipm_corpus3,dominant_corpus,LLR_corpus1_vs_corpus2,LLR_corpus1_vs_corpus3,LLR_corpus2_vs_corpus3
филармония_n,31.23275862,0.0,7.231446693,corpus1,15.065496913494965,14.642502157530016,3.6919755946127446
психолог_n,31.22413793,0.0,9.25140387,corpus1,15.061338619949161,11.229282934049492,4.723253693760707
экспертиза_n,31.21551724,0.0,29.73376964,corpus1,15.057180326403357,0.003652377195197065,15.180413616680639
состав_n,218.3362069,29.69854122,205.7124389,corpus1,15.052298177879358,0.0022051282671391448,15.099598785471457
стакан_n,31.18103448,0.0,0.0,corpus1,15.040547152220142,41.25881564110904,0.0
җыештыр_v,31.15517241,0.0,0.0,corpus1,15.02807227158273,41.2245948913481,0.0
мәгънәле_adj,31.14655172,0.0,12.40253707,corpus1,15.023913978036926,7.180150861517676,6.33204753041244
мәзәк_n,31.13793103,0.0,4.56510322,corpus1,15.01975568449111,20.528908078374123,2.3306885040641836
тарафдар_n,31.11206897,0.0,0.0,corpus1,15.00728080867733,41.16756032164522,0.0
хәйран_adj,31.07758621,0.0,11.27136105,corpus1,14.990647634494115,8.408006098348576,5.754531794440303
диңгез_adj,31.05172414,0.0,87.01975518,corpus3,14.978172753856704,31.33519392483442,44.42746050865977
стратегик_adj,31.04310345,0.0,56.8819941,corpus3,14.974014460310899,9.453772243299845,29.040791269801062
әзерлек_n,223.3965517,30.78042753,268.0079182,corpus3,14.947440566207234,7.421018959304867,30.382965713873695
бәхетсезлек_n,30.97413793,0.0,15.63446855,corpus1,14.940748111944469,4.20819876707904,7.9820924874154375
цивилизация_n,30.96551724,0.0,11.5945542,corpus1,14.936589818398664,7.9510992738718045,5.919536291161688
шау-шу_n,30.96551724,0.0,17.85642144,corpus1,14.936589818398664,2.773086058969273,9.116498394078636
тапшыру_n,257.6034483,37.62221563,166.0404799,corpus1,14.91603458032624,14.51107135741266,2.0112012930850067
гадәттәгечә_adv,30.34482759,24.63196,31.63252939,corpus3,14.902839754744782,0.17301520846141027,12.444297375576461
хор_n,30.88793103,0.0,20.07837434,corpus1,14.899165176486429,1.669397941156733,10.250904305847275
канлы_adj,30.85344828,0.0,23.87589383,corpus1,14.882532007126834,0.5008523251062478,12.189707130836338
башкорт_n,217.2931034,29.64520879,431.180059,corpus3,14.877526755045665,86.26572797876304,88.48265242055581
мәктәп_n,1918.258621,427.5736616,1568.900739,corpus1,14.858993913325122,16.24175848748547,1.4340352317666145
олыгай_v,30.79310345,0.0,0.0,corpus1,14.853423952306207,40.74550442115893,0.0
тир_n,30.78448276,0.0,4.56510322,corpus1,14.849265658760402,20.158450952943905,2.3306885040641836
көндәшлек_n,30.75,0.0,47.2265988,corpus3,14.832632484577188,4.644526041728199,24.1112819589677
картай_v,30.71551724,0.0,0.0,corpus1,14.815999310393972,40.64284217187609,0.0
